[ID]	ENGLISH                                           MIYASAN                                           CLASS                                             

0	during (a krr)                                    -ka                                               postposition
1	through                                           -karam                                            postposition
2	to have                                           -kira                                             enclitic
3	to be                                             -la                                               clitic
4	to become                                         -lassa                                            clitic
5	beyond                                            -lasso                                            postposition
6	beneath                                           -lda                                              postposition
7	like                                              -len                                              postposition
8	too                                               -lí                                               postposition
9	locative                                          -mi                                               postposition
10	above                                             -missa                                            postposition
11	to try to                                         -nama                                             verb; i-clitic
12	back into                                         -náren                                            postposition
13	to be excessively blah                            -sóla                                             i- verb clitic
14	towards                                           -ta                                               postposition
15	because of                                        -tema                                             postposition
16	about                                             -tiri                                             adposition
17	above                                             -unda                                             postposition
18	by means of                                       -vara                                             postposition
19	from                                              -zin                                              postposition
20	if ...                                            ... rena                                          clausal postposition
21	even though ...                                   ... sikeri                                        clausal postposition
22	<polite form>                                     ... tuda                                          verbal clitic
23	please ...                                        ... tuddá                                         verbal clitic
24	to be as if ...                                   ...-lena                                          verbifyer
25	Alex                                              Aleksa                                            name
26	Alice                                             Alisi                                             name
27	Alan                                              Alána                                             name
28	Amanda                                            Amandi                                            name
29	Andy                                              Andya                                             name
30	Anne                                              Anni                                              name
31	Moon (of Earth)                                   Asela                                             noun
32	Ashley                                            Asli                                              name
33	Becky                                             Bekki                                             name
34	Brandon                                           Buranda                                           name
35	Brian                                             Burianna                                          name
36	Dan                                               Danna                                             name
37	Dave                                              Déva                                              name
38	Earth                                             Ethi                                              noun
39	Greg                                              Giréga                                            name
40	Elizabeth                                         Ilízabethi                                        name
41	Kevin                                             Kevina                                            name
42	Chris                                             Kirísa                                            name
43	Christine                                         Kristini                                          name
44	Claire                                            Kulairi                                           name
45	Kate                                              Kéti                                              name
46	Laura                                             Lauri                                             name
47	Mike                                              Maika                                             name
48	Mary                                              Mari                                              name
49	Mark                                              Marka                                             name
50	Matt                                              Matta                                             name
51	Meg                                               Megi                                              name
52	Michelle                                          Miselli                                           name
53	Natalie                                           Natali                                            name
54	Nicole                                            Nikoli                                            name
55	Nick                                              Nıka                                              name
56	Peter                                             Petera                                            noun
57	Rachel                                            Ratseli                                           name
58	Ruth                                              Rúthi                                             name
59	Stephanie                                         Stefani                                           name
60	Susan                                             Susani                                            name
61	Sharon                                            Syároni                                           name
62	Sarah                                             Sári                                              name
63	Jennifer                                          Zennifi                                           name
64	Jessica                                           Zessiki                                           name
65	Jim                                               Zima                                              name
66	Josh                                              Zossa                                             name
67	Justin                                            Zustina                                           name
68	John                                              Zóna                                              name
69	Joan                                              Zóni                                              name
70	Joey                                              Zóya                                              name
71	Julie                                             Zúli                                              name
72	and (sì)                                          a                                                 particle
73	to be clean                                       adhuska                                           verb
74	to be dirty                                       adhuskemána                                       verb
75	to be tired                                       aerda                                             verb
76	sun                                               aifa                                              noun
77	year                                              aifakári                                          noun
78	sunglasses                                        aifatakisimi                                      noun; calque
79	world                                             aise                                              noun
80	actress                                           akıtıressı                                        noun, loan
81	rain                                              ambe                                              noun
82	milk                                              anazu                                             noun
83	kinisimi                                          animal                                            noun
84	parent                                            anı                                               noun
85	female person                                     ardikita                                          noun
86	to be female                                      ardina                                            verb
87	to be far away                                    areka                                             verb
88	to advertise                                      arekinlemma                                       verb
89	top                                               ari                                               noun
90	apple                                             arı                                               noun
91	to be red                                         arısaka                                           noun
92	preserved meat                                    asarimunu                                         noun
93	to be deep                                        asáta                                             verb
94	to be new                                         atara                                             verb
95	to send                                           atira                                             verb
96	solar system                                      atála                                             noun
97	to be sweet                                       awena                                             verb
98	money                                             dhondi                                            verb
99	to be rich                                        dhondikira                                        verb
100	to be together                                    déra                                              verb
101	to be thick                                       dúrka                                             verb
102	gold                                              eirimo                                            noun
103	and (ulte)                                        esti                                              conjunction
104	Internet                                          ethiithisadéri                                    noun
105	day                                               ethikári                                          noun
106	family                                            familya                                           noun (loan)
107	clothes                                           fifito                                            noun
108	hot                                               gozırna                                           verb
109	to be slow                                        gımma                                             verb
110	to live                                           haera                                             verb
111	to fly                                            halma                                             verb
112	to be peaceful                                    harna                                             verb
113	to promise                                        haslemma                                          verb
114	night                                             hassi                                             noun
115	dusk                                              hassinaro                                         noun
116	to greet                                          hayána                                            verb
